affgeoid,state,claims
0400000US56,Wyoming,7014
0400000US46,South Dakota,8348
0400000US54,West Virginia,17601
0400000US50,Vermont,18110
0400000US38,North Dakota,18559
0400000US02,Alaska,22748
0400000US11,District of Columbia,28341
0400000US10,Delaware,29707
0400000US49,Utah,29874
0400000US30,Montana,34244
0400000US05,Arkansas,35902
0400000US28,Mississippi,37669
0400000US31,Nebraska,40240
0400000US23,Maine,44732
0400000US35,New Mexico,45369
0400000US16,Idaho,45554
0400000US72,Puerto Rico,46689
0400000US33,New Hampshire,49332
0400000US15,Hawaii,57765
0400000US09,Connecticut,58280
0400000US40,Oklahoma,62690
0400000US44,Rhode Island,63503
0400000US41,Oregon,65326
0400000US20,Kansas,78426
0400000US08,Colorado,80213
0400000US01,Alabama,89676
0400000US45,South Carolina,95920
0400000US19,Iowa,100343
0400000US04,Arizona,118332
0400000US24,Maryland,125418
0400000US47,Tennessee,133588
0400000US29,Missouri,137242
0400000US13,Georgia,144132
0400000US51,Virginia,160989
0400000US21,Kentucky,161573
0400000US55,Wisconsin,161681
0400000US32,Nevada,164455
0400000US22,Louisiana,170450
0400000US18,Indiana,207878
0400000US27,Minnesota,226334
0400000US37,North Carolina,264468
0400000US17,Illinois,292796
0400000US12,Florida,301021
0400000US53,Washington,320979
0400000US25,Massachusetts,329057
0400000US34,New Jersey,360969
0400000US48,Texas,431254
0400000US26,Michigan,440384
0400000US36,New York,446737
0400000US39,Ohio,459913
0400000US42,Pennsylvania,784788
0400000US06,California,1065536
